threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.36000000000000004,0.9413835883916173,0.0255461592670895,0.919661733615222,0.04971144506028227,435,266660,16593,38
0.37,0.9461205529278247,0.027735271614384084,0.919661733615222,0.053846629943677664,435,268004,15249,38
0.38,0.9503958044028393,0.029930185940416118,0.9154334038054969,0.057965194109772425,433,269219,14034,40
0.39,0.9540472145661659,0.032169186089805644,0.9133192389006343,0.06214933103150626,432,270256,12997,41
0.4,0.9573496965382094,0.0345821325648415,0.9133192389006343,0.06664095642113382,432,271193,12060,41
0.41000000000000003,0.9602715295743076,0.036960809536060374,0.9112050739957717,0.07104005274435471,431,272023,11230,42
0.42000000000000004,0.9630805777404962,0.039587552936844045,0.9090909090909091,0.07587119541243935,430,272821,10432,43
0.43,0.9654737316988926,0.04222724148089954,0.9090909090909091,0.08070570570570572,430,273500,9753,43
0.44,0.9675073838844519,0.04476368936081616,0.9090909090909091,0.08532592519099116,430,274077,9176,43
0.45,0.9693507116020386,0.04734118683254431,0.9090909090909091,0.08999581414817916,430,274600,8653,43
0.46,0.9710812544497156,0.049941792782305004,0.9069767441860465,0.0946706388613042,429,275092,8161,44
0.47000000000000003,0.9725509822857263,0.05227077977720651,0.9027484143763214,0.09881971765794954,427,275511,7742,46
0.48000000000000004,0.9738832535615347,0.05480682839173405,0.9027484143763214,0.10333978702807357,427,275889,7364,46
0.49,0.974986430570339,0.057100829098689486,0.9027484143763214,0.10740787322349389,427,276202,7051,46
0.5,0.9759803472364182,0.05921601334445371,0.9006342494714588,0.11112560323464198,426,276485,6768,47
0.51,0.9769672148481281,0.06136034732272069,0.8964059196617337,0.11485845862115672,424,276767,6486,49
0.52,0.9778236749540049,0.06346586646661666,0.8942917547568711,0.11852059400392267,423,277011,6242,50
0.53,0.978655463369589,0.06566049478761475,0.8921775898520085,0.12231884057971015,422,277248,6005,51
0.54,0.9795471687473125,0.06835114998380304,0.8921775898520085,0.12697457499623888,422,277501,5752,51
0.55,0.9804423986522208,0.07113889827644475,0.8900634249471459,0.13174777030198717,421,277756,5497,52
0.56,0.9812107455784806,0.073410607657183,0.8837209302325582,0.13556023998702774,418,277977,5276,55
0.5700000000000001,0.982049583048434,0.07661290322580645,0.8837209302325582,0.14100185528756956,418,278215,5038,55
0.5800000000000001,0.9829307148446036,0.08029197080291971,0.8837209302325582,0.1472090156717732,418,278465,4788,55
0.59,0.9837307825155256,0.0839526009238803,0.8837209302325582,0.1533382245047689,418,278692,4561,55
0.6,0.9845308501864475,0.08796296296296297,0.8837209302325582,0.16,418,278919,4334,55
0.61,0.9852428046777525,0.09186813186813186,0.8837209302325582,0.16643440175194107,418,279121,4132,55
0.62,0.9858913176797333,0.09555453712190651,0.8816067653276956,0.17242092205912757,417,279306,3947,56
0.63,0.9865786004807455,0.09983201343892488,0.879492600422833,0.1793103448275862,416,279502,3751,57
0.64,0.9870967059768933,0.10348258706467661,0.879492600422833,0.1851769419096372,416,279649,3604,57
0.65,0.987646532217703,0.10725388601036269,0.8752642706131079,0.1910916224324948,414,279807,3446,59
0.66,0.9881716867682201,0.11156022635408246,0.8752642706131079,0.19789674952198852,414,279956,3297,59
0.67,0.9886615960468903,0.11590145576707726,0.8752642706131079,0.2046971569839308,414,280095,3158,59
0.68,0.9890492940372049,0.1195840554592721,0.8752642706131079,0.21041931385006354,414,280205,3048,59
0.6900000000000001,0.989486335408105,0.12402636309167166,0.8752642706131079,0.2172658094988192,414,280329,2924,59
0.7000000000000001,0.9898846069799736,0.1283720930232558,0.8752642706131079,0.22390481341265547,414,280442,2811,59
0.7100000000000001,0.99019828989941,0.13130990415335464,0.86892177589852,0.22814321398834306,411,280534,2719,62
0.72,0.9905472180906931,0.13559881227317716,0.86892177589852,0.2345890410958904,411,280633,2620,62
0.73,0.9909948330431473,0.14078674948240166,0.8625792811839323,0.24206466923761494,408,280763,2490,65
0.74,0.9913825310334619,0.1460875807609476,0.8604651162790697,0.2497698680576864,407,280874,2379,66
