threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.27,0.5838541758261083,0.5466901151928433,0.9818405641629883,0.7023248383205211,279152,52845,231470,5163
0.28,0.5853472380985878,0.5476514495443111,0.9808838787964054,0.7028721784803362,278880,53966,230349,5435
0.29000000000000004,0.5868227142430051,0.5486135728071212,0.9798111249846121,0.7033878512047166,278575,55110,229205,5740
0.3,0.5882806042593602,0.5495707404357177,0.978731336721594,0.7038950132295877,278268,56246,228069,6047
0.31,0.5897050806323971,0.5505080610505011,0.977732444647662,0.7044043006611139,277984,57340,226975,6331
0.32,0.5910979019749222,0.551437542325925,0.9766174841285195,0.7048745443283476,277667,58449,225866,6648
0.33,0.5924045512899425,0.552322154066757,0.9754392135483531,0.7052890575826356,277332,59527,224788,6983
0.34,0.5936390974799078,0.5531632779395261,0.9743137013523733,0.7056794545359595,277012,60549,223766,7303
0.35000000000000003,0.5949633329229903,0.5540687486858047,0.9731354307722069,0.7061058864062679,276677,61637,222678,7638
0.36000000000000004,0.5962137066282117,0.5549312631278791,0.9719782635457151,0.7065004390893018,276348,62677,221638,7967
0.37,0.5973216326961293,0.5557144007731959,0.9707190967764627,0.7068012881664116,275990,63665,220650,8325
0.38,0.5983592142517982,0.5564664310954064,0.969312206531488,0.707035333807957,275590,64655,219660,8725
0.39,0.5995234159295147,0.5572986064143012,0.9679862124755992,0.707352961964868,275213,65694,218621,9102
0.4,0.6004607565552292,0.5579900962559462,0.9666496667428732,0.7075519787450956,274833,66607,217708,9482
0.41000000000000003,0.6014825105956422,0.5587448438180789,0.965239259272286,0.7077796390074187,274432,67589,216726,9883
0.42000000000000004,0.6023706100627825,0.5594209289553896,0.9637725761918998,0.7079265346826261,274015,68511,215804,10300
0.43,0.6033290540421715,0.5601458503089389,0.962316444788351,0.7081128576623302,273601,69470,214845,10714
0.44,0.6042787049575296,0.5608691010474708,0.960860313384802,0.7082952528736973,273187,70424,213891,11128
0.45,0.6050823910099713,0.5615080713066644,0.9592986652128801,0.708379217918883,272743,71325,212990,11572
0.46,0.6060091799588485,0.5622259292598129,0.9578179132300442,0.7085454396438565,272322,72273,212042,11993
0.47000000000000003,0.6069025552644074,0.5629382213957649,0.9561683344178112,0.7086582563575863,271853,73250,211065,12462
0.48000000000000004,0.6077115171552679,0.5635920011628631,0.9546066862458893,0.7087460911233409,271409,74154,210161,12906
0.49,0.6084905826284227,0.5642321524137945,0.9530098658178429,0.708810857332702,270955,75051,209264,13360
0.5,0.6093100961961205,0.5649071144387707,0.9513602870056099,0.7088857730661879,270486,75986,208329,13829
0.51,0.610159506181524,0.5655973928596861,0.9498232594129751,0.7090012379015797,270049,76906,207409,14266
0.52,0.6109842955876404,0.5662860924091716,0.9481455427958426,0.7090734530150589,269572,77852,206463,14743
0.53,0.6117950160913072,0.5669761384995322,0.9463834127640117,0.7091200666238847,269071,78814,205501,15244
0.54,0.6127499428450838,0.5677657071466169,0.9446599722139176,0.7092520901442371,268581,79847,204468,15734
0.55,0.6135430772206883,0.5684503362933937,0.9429259799869862,0.7092960034500686,268088,80791,203524,16227
0.56,0.6142060742486327,0.569061043747913,0.9410548159611698,0.7092404630437145,267556,81700,202615,16759
0.5700000000000001,0.6150115189138807,0.5697736695323385,0.9391871691609658,0.7092617727759288,267025,82689,201626,17290
0.5800000000000001,0.6155865853015141,0.5703415298207161,0.9371964194643265,0.709132449864073,266459,83582,200733,17856
0.59,0.6162267203629777,0.5709698896095529,0.9350720151944146,0.7090081140365498,265855,84550,199765,18460
0.6,0.6168053039762236,0.5715769803586015,0.9327471290645939,0.7088057475503954,265194,85540,198775,19121
0.61,0.6175140249371296,0.5722615612874761,0.9306297592459069,0.7087187632671155,264592,86545,197770,19723
0.62,0.6179501609130718,0.5727718174400639,0.928361148725885,0.708450369662573,263947,87438,196877,20368
0.63,0.618636019907497,0.5734627916296412,0.9260925382058632,0.7083161277219052,263302,88473,195842,21013
0.64,0.6192304310359988,0.5741114021241522,0.9236304802771573,0.7080883512803331,262602,89511,194804,21713
