threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,cost_fp1_fn5,cost_fp1_fn10,cost_fp1_fn20
0.44,434,274032,9221,39,0.9673628782698801,0.04495080269290523,0.9175475687103594,0.08570300157977884,9416,9611,10001
0.45,434,274590,8663,39,0.9693295644389305,0.047708035616137186,0.9175475687103594,0.09070010449320794,8858,9053,9443
0.46,434,275063,8190,39,0.9709966657972833,0.05032467532467533,0.9175475687103594,0.09541607123227437,8385,8580,8970
0.47000000000000003,432,275477,7776,41,0.9724487709973707,0.05263157894736842,0.9133192389006343,0.0995277041815459,7981,8186,8596
0.48000000000000004,431,275853,7400,42,0.973770468691625,0.055037670795556125,0.9112050739957717,0.1038053949903661,7610,7820,8240
0.49,431,276145,7108,42,0.974799630629551,0.05716938586019366,0.9112050739957717,0.10758861707438842,7318,7528,7948
0.5,430,276493,6760,43,0.9760226415626344,0.059805285118219746,0.9090909090909091,0.1122275871068772,6975,7190,7620
0.51,430,276760,6493,43,0.9769636903209434,0.062111801242236024,0.9090909090909091,0.11627906976744186,6708,6923,7353
0.52,430,277027,6226,43,0.9779047390792526,0.06460336538461539,0.9090909090909091,0.12063403001823539,6441,6656,7086
0.53,430,277246,6007,43,0.9786766105326971,0.06680130495572471,0.9090909090909091,0.12445730824891461,6222,6437,6867
0.54,428,277492,5761,45,0.9795365951657585,0.06915495233478752,0.904862579281184,0.12848994296007202,5986,6211,6661
0.55,428,277700,5553,45,0.9802696968201716,0.07155993980939643,0.904862579281184,0.13263092655717384,5778,6003,6453
0.56,427,277950,5303,46,0.9811473040891564,0.07452006980802792,0.9027484143763214,0.1376753183943253,5533,5763,6223
0.5700000000000001,425,278203,5050,48,0.9820319604125106,0.0776255707762557,0.8985200845665962,0.14290517821116341,5290,5530,6010
0.5800000000000001,425,278437,4816,48,0.9828566997737254,0.08109139477199008,0.8985200845665962,0.1487574378718936,5056,5296,5776
0.59,423,278667,4586,50,0.983660291971832,0.0844479936114993,0.8942917547568711,0.1543232396935425,4836,5086,5586
0.6,421,278888,4365,52,0.9844321634252765,0.08796489761805265,0.8900634249471459,0.16010648412245676,4625,4885,5405
